SMILES,RDKIT_SMILES,range of docking_score,type,range of hit_ratio,hit_ratio
,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(N)=O,,2,1,0.01
,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,5,0.21
,NC(C(F)(F)F)C(F)(F)F,,2,1,0.01
,OCC(F)(F)C(F)(F)C(F)(F)C(F)F,,2,1,0.02
,OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,,2,1,0.01
,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,,2,1,0.02
,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,3,0.11
,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,4,0.19
,COC(=O)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,FC(F)(F)COCC(F)(F)F,,2,1,0.01
,O=C(O)C(F)(F)C(F)(F)C(F)F,,2,1,0.02
,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,OCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,O=C(O)C=C(C(F)(F)F)C(F)(F)F,,2,3,0.11
,FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)F,,2,1,0.02
,O=C(C=C(O)C(F)(F)F)C(F)(F)F,,2,1,0.02
,NC(=O)C(F)(F)C(F)(F)C(F)(F)F,,2,0,0
,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,5,0.25
,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,,2,1,0.01
,CC(O)C(F)(F)C(F)(F)F,,2,1,0.01
,CC(F)(F)CC(F)(F)F,,2,0,0
,FC(F)OCC(F)(F)C(F)(F)F,,2,1,0.01
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,2,0.1
,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.04
,OC(O)(C(F)C(O)(O)C(F)(F)F)C(F)(F)F,,2,4,0.16
,O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,8,0.37
,NC(O)(C(F)(F)F)C(F)(F)F,,2,1,0.03
,C=CC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,,2,1,0.01
,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,5,0.23
,O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(=O)O,,2,0,0
,OCCCC(F)(F)C(F)(F)C(F)(F)F,,2,0,0
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.04
,COC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,,2,0,0
,O=C(OC(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,,2,0,0
,COC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.02
,FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,,2,0,0
,O=S(=O)(OCC(F)F)C(F)(F)F,,2,1,0.01
,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(=O)F,,2,1,0.01
,OCC(F)(F)C(F)(F)C(F)(F)CO,,2,1,0.02
,OCC(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,3,0.11
,O=S(=O)(OCCOC(F)(F)F)C(F)(F)F,,2,1,0.01
,CC=CC(F)(F)C(F)(F)C(F)(F)F,,2,1,0.03
,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,2,0.07
,FC(F)(F)C(F)(F)CNCC(F)(F)C(F)(F)F,,2,1,0.01
,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,0,0
,O=CC(F)(F)C(F)(F)C(F)(F)C(F)F,,2,1,0.01
,O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,,2,1,0.04
,FCOC(C(F)(F)F)C(F)(F)F,,2,0,0
,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO,,2,1,0.02
,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,5,0.21
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,5,0.25
,O=CC(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,CC(=O)C(F)(F)C(F)(F)F,,2,1,0.01
,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,7,0.35
,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.02
,O=C(O)C=CC(F)(C(F)(F)F)C(F)(F)F,,2,1,0.01
,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.03
,C=CCOC(F)(C(F)(F)F)C(F)(F)F,,2,1,0.02
,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,2,0.06
,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.02
,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,,2,0,0
,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.02
,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,,2,1,0.02
,O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,,2,1,0.01
,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.04
,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,2,0.09
,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,,2,1,0.04
,COC(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,,2,2,0.09
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,3,0.12
,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,,2,0,0
,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,0,0
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,,2,1,0.01
,OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.02
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,6,0.29
,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,3,0.11
,N=C(N)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,4,0.2
,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,,2,1,0.04
,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,2,0.08
,C[Si](C)(C)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.02
,FC(F)(F)N1C(F)(F)C(F)(F)OC(F)(F)C1(F)F,,2,0,0
,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,0,0
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,2,0.06
,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,,2,1,0.02
,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,9,0.42
,CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.05
,FC(F)(F)C(F)(F)C(F)(F)CI,,2,1,0.01
,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,,2,0,0
,FC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,,2,0,0
,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,,2,1,0.02
,CCO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCC)OCC,,2,1,0.02
,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl,,2,1,0.02
,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.02
,O=C(O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,,2,1,0.02
,FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,,2,0,0
,COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,,2,0,0
,O=C(O)C(F)(F)C(F)(F)F,,2,1,0.01
,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,,2,4,0.16
,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(=O)Cl,,2,1,0.02
,FC1(F)C=CC(F)(F)C1(F)F,,2,0,0
,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC1CO1,,2,1,0.01
,FC1CC(F)(F)C(F)(F)C1(F)F,,2,1,0.01
,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,2,0.09
,O=S(=O)(OCC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,2,0.09
,O=C1OC(=O)C(F)(F)C1(F)F,,2,0,0
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.05
,O=C(O)C(F)(F)C(F)(F)OC(F)(F)F,,2,1,0.01
,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.03
,O=S(=O)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,3,0.15
,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,,2,8,0.39
,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,,2,1,0.04
,FC(F)C(F)(F)COCC1CO1,,2,1,0.02
,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,,2,2,0.09
,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,,2,1,0.01
,O=C(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,,2,1,0.01
,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,,2,1,0.01
,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,,2,2,0.06
,O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1cccs1,,2,8,0.36
,O=C(CC(=O)C(F)(F)C(F)(F)F)C(F)(F)F,,2,1,0.03
,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.03
,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,,2,0,0
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,,2,7,0.31
,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,3,0.15
,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.03
,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,3,0.12
,O=C(O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,,2,1,0.01
,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,4,0.17
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,5,0.23
,O=S(=O)(O)C(F)(F)F,,2,0,0
,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,,2,0,0
,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,,2,5,0.23
,FC(F)(F)C(F)(F)C(F)(F)Br,,2,0,0
,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.01
,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,1,0.04
